Column1,Column2,Correlation
Language,TS_on_smartphone,0.1924770722705926
Language,TS_on_socialmedia,-0.05096417299789168
Language,TS_on_videogames,-0.11346309706520566
Language,No_of_kids_0_4,-0.019225812609657014
Language,No_of_kids_5_11,0.004690389130962394
Language,No_of_kids_12_17,-0.010625264725079405
Language,No_of_kids_above_18,-0.0446652680775576
Language,No_of_kids_at_home_0_11,-0.010892316827447655
Language,No_of_kids_at_home_above_12,-0.036217310821273316
Language,Kids_at_home,-0.009707970785497027
Language,How_is_curret_days_parenting,0.02407354683074914
Language,As_a_parent_your_job_is,0.08018587150053912
Language,Time_spent_together,-0.06613513674626985
Language,SP_in_socialmedia,0.06980637771822067
Language,SP_abt_children_with_family_frnds,0.04850817633930819
Language,SP_child_accomplishments,-0.05899669477972292
Language,Because_other_parents_share,-0.014301810335105754
Language,How_much_other_people_share,0.03209308092317013
Language,Feel_pressurised_to_share,-0.06111274603613705
Language,Harm_vs_benifits,0.0672508884606183
Language,ML_learn_social_skills,0.11573513536505524
Language,ML_be_creative,0.05463929743392637
Language,ML_pursue_interest,0.0805609901767727
Language,ML_do_well_in_school,0.10014861289277452
Language,ML_healthy_frienships,0.022347436076702074
Language,ACCEPT_social_media,0.06786600572406454
Language,ACCEPT_videogames,0.16378166061967034
Language,ACCEPT_own_smartphone,-0.01769065436749621
Language,ACCEPT_own_tablet_computer,0.023940314670711862
Language,RE_tech_companies,-0.058510508942757694
Language,RE_government,0.13255379098421488
Language,RE_parents,-0.022123864311763018
Language,ADV_socialmedia,-0.09487565200117358
Language,ADV_online_blogs,0.0665344031427514
Language,ADV_other_parents,0.00993630761534226
Language,ADV_books_magazines,-0.03607981434488086
Language,ADV_doctors,0.003583781062483119
Language,ADV_teachers,-0.027588864700173882
Language,Confidence_abt_screen_time,0.010253288511190409
Language,How_often_distracted,0.04954065589569109
Language,Child_age_0_11,0.008414401613388184
Language,Child_gender,-0.0017264088403169966
Language,CHD_tv,-0.005055088421149895
Language,CHD_computer,-0.008693087885030537
Language,CHD_tablet,-0.013805326974439515
Language,CHD_gaming_console,-0.030783331546977804
Language,CHD_voice_assistant,-0.03533029920267442
Language,CHD_smartphone,0.0029369083703591364
Language,Child_first_age_smartphone,0.011729187611987959
Language,Child_owns_smartphones,0.01487055941828197
Language,Child_owns_smartphone_age,0.03021809325666502
Language,RS_to_contact,0.049930209131306025
Language,RS_peer_kids_have,0.045859319987095526
Language,RS_entertainment,0.04475224237912644
Language,RS_to_do_homework,0.044539579079241214
Language,CHSO_facebook,-0.0030613889643429956
Language,CHSO_instagram,0.001065809096711043
Language,CHSO_snapchat,0.020871122189548397
Language,CHSO_tiktok,0.029160409728514438
Language,CHSO_other_websites,-0.006874714351670512
Language,Child_physical_activity,0.03222989727741737
Language,HCHU_smartphone,0.07208183864742929
Language,HCHU_socialmedia,0.15718983465029765
Language,HCHU_videogames,-0.02212384505208294
Language,CO_online_bully,0.009780130273420997
Language,CO_screen_time,0.011332738327226284
Language,CO_sexual_explicit_content,-0.025894191093187705
Language,CO_online_fraud,0.02205631931715538
Language,CO_violent_content,-0.02162225326450779
Language,AW_on_tv,0.05669421681594457
Language,AW_videos,0.04717790647714711
Language,AW_websites,0.06753749215213628
Language,AW_socialmedia,0.08014342796925128
Language,AW_videogames,0.08307306008421071
Language,MNT_websites,-0.002028898160150089
Language,MNT_take_away_mobile,-0.0030249382899596063
Language,MNT_screentime,0.019776068510717768
Language,MNT_call_records,0.03621350580952633
Language,MNT_parental_controls,0.035087333678586664
Language,MNT_socialmedia,0.03908044433444878
Language,MNT_gps,0.039654360034127485
Language,ALLOW_home_dinner,-0.006711259591372337
Language,ALLOW_outside_dinner,-0.026059521954623733
Language,ALLOW_before_bed,-0.02533530057834588
Language,ALLOW_in_car,-0.016915239919927084
Language,Uses_youtube,0.008782779893173508
Language,How_often_youtube,0.02135302162984731
Language,YT_new_cultures,-0.0027718173215013106
Language,YT_learn_new_things,0.049384093834376454
Language,YT_entertainment,0.0629885694113306
Language,YT_inappropriate_videos,0.04327581425523741
Language,YT_concern_inappropriate,-0.02535114573940955
Language,YT_concern_ads,0.053785229330860884
Language,YT_concern_recommended,0.03609332249581787
Language,YT_preventing_inappropriate,0.0261235959618832
Language,Child_bullied_online,0.02364486732894287
Language,Confidence_that_child_tells_abt_bullying,-0.003143733546675435
Language,P_metropolitan,-0.10022054676569891
Language,P_region,0.10711925023864835
Language,P_age_categories,0.016955925513326208
Language,P_gender,-0.04809394889827738
Language,P_education_level,0.04647130314022024
Language,P_race,0.46904121585890446
Language,P_nationality,0.49962651532816266
Language,P_marital_status,0.043652431897522326
Language,P_supporting_party,0.08763701674526213
Language,P_income,-0.26932090777863926
Language,P_employment_type,-0.07739132382845303
Language,P_neighborhood,0.09367104137459398
Smartphone_user,Social_media_user,0.10287528367130569
Smartphone_user,Videogame_player,-0.035599578385435086
Smartphone_user,TS_on_smartphone,0.2371584952657383
Smartphone_user,TS_on_socialmedia,0.04458118120024326
Smartphone_user,TS_on_videogames,-0.03620335331977838
Smartphone_user,No_of_kids_0_4,-0.03994594428297991
Smartphone_user,No_of_kids_5_11,0.01643806832609091
Smartphone_user,No_of_kids_12_17,0.050975126846481214
Smartphone_user,No_of_kids_above_18,0.1140233562209448
Smartphone_user,No_of_kids_at_home_0_11,-0.0150489578319178
Smartphone_user,No_of_kids_at_home_above_12,0.10639959968687605
Smartphone_user,Kids_at_home,0.0405538463692094
Smartphone_user,How_is_curret_days_parenting,0.009013099890745621
Smartphone_user,As_a_parent_your_job_is,0.022293550352091296
Smartphone_user,Time_spent_together,0.0011736608845581706
Smartphone_user,SP_in_socialmedia,0.07379548574547008
Smartphone_user,SP_abt_children_with_family_frnds,0.020925978547441423
Smartphone_user,SP_child_accomplishments,-0.03830722843769385
Smartphone_user,Because_other_parents_share,0.04392655348991198
Smartphone_user,How_much_other_people_share,0.07605370802733248
Smartphone_user,Feel_pressurised_to_share,0.020448454158611507
Smartphone_user,Harm_vs_benifits,-0.0028383709581199243
Smartphone_user,ML_learn_social_skills,0.038882008017583874
Smartphone_user,ML_be_creative,0.02947307768135119
Smartphone_user,ML_pursue_interest,0.007603092623734604
Smartphone_user,ML_do_well_in_school,0.026167655787036885
Smartphone_user,ML_healthy_frienships,0.03447625066215057
Smartphone_user,ACCEPT_social_media,-0.0021735413080406895
Smartphone_user,ACCEPT_videogames,0.04060072484351226
Smartphone_user,ACCEPT_own_smartphone,0.038762265983852316
Smartphone_user,ACCEPT_own_tablet_computer,0.004495462864867467
Smartphone_user,RE_tech_companies,0.01747382660424454
Smartphone_user,RE_government,0.0433315833357204
Smartphone_user,RE_parents,0.005274705610114636
Smartphone_user,ADV_socialmedia,0.05652471444491717
Smartphone_user,ADV_online_blogs,-0.021928462498435376
Smartphone_user,ADV_other_parents,0.019084177765941193
Smartphone_user,ADV_books_magazines,-0.005437820010478313
Smartphone_user,ADV_doctors,0.01689700998089729
Smartphone_user,ADV_teachers,0.01304036101598935
Smartphone_user,Confidence_abt_screen_time,0.05026538427922224
Smartphone_user,How_often_distracted,0.44033654813947626
Smartphone_user,Child_age_0_11,0.026631408013673977
Smartphone_user,Child_gender,0.04167606476478968
Smartphone_user,CHD_tv,0.03539807665600668
Smartphone_user,CHD_computer,0.04410156034672823
Smartphone_user,CHD_tablet,0.027771863784878663
Smartphone_user,CHD_gaming_console,0.040247476525174894
